,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
31052,E01002971,Violence Against the Person,Kingston upon Thames,1803,139.3,14333.97,0.153,6.5359477124183005
32680,E01003122,Violence Against the Person,Lambeth,1909,165.2,16420.88,0.153,6.5359477124183005
33164,E01003166,Violence Against the Person,Lambeth,2557,224.5,24021.5,0.153,6.5359477124183005
38840,E01003708,Violence Against the Person,Redbridge,2053,159.3,17857.53,0.153,6.5359477124183005
43977,E01004204,Violence Against the Person,Tower Hamlets,1907,149.3,15168.88,0.153,6.5359477124183005
1242,E01000126,Violence Against the Person,Barnet,2239,132.9,14060.82,0.153,6.5359477124183005
47695,E01004580,Violence Against the Person,Wandsworth,2142,136.5,13745.55,0.153,6.5359477124183005
34242,E01003268,Violence Against the Person,Lewisham,1847,145.2,15289.56,0.153,6.5359477124183005
47288,E01004540,Violence Against the Person,Wandsworth,2255,190.9,19681.79,0.154,6.4935064935064934
27334,E01002614,Violence Against the Person,Hounslow,2103,178.2,19031.76,0.154,6.4935064935064934
