,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
22180,Harrow,Violence Against the Person,E01002232,4350,82.1,5.2984166264737614e-05,3998.27,0.072
1108,Barking and Dagenham,Violence Against the Person,E01000103,3576,75.0,5.29777775705758e-05,4117.5,0.081
37712,Redbridge,Violence Against the Person,E01003666,5732,83.5,5.2805157838841186e-05,4066.45,0.071
47682,Westminster,Violence Against the Person,E01004722,5448,73.7,5.280093098601514e-05,3500.75,0.067
40402,Southwark,Violence Against the Person,E01003925,3986,75.6,5.2724868664988396e-05,4180.68,0.084
43256,Tower Hamlets,Violence Against the Person,E01004296,4960,78.4,5.272108825605073e-05,4515.84,0.073
44722,Waltham Forest,Violence Against the Person,E01004425,3920,82.7,5.266693509247919e-05,4300.4,0.08
40465,Southwark,Violence Against the Person,E01004004,5224,90.2,5.265067451568882e-05,4564.12,0.078
15152,Enfield,Violence Against the Person,E01001436,3942,74.9,5.263017455271061e-05,4141.97,0.073
37782,Redbridge,Violence Against the Person,E01003740,4472,77.3,5.2593202517910085e-05,4228.31,0.076
44724,Waltham Forest,Violence Against the Person,E01004427,3958,75.3,5.256308095345224e-05,3674.64,0.075
13422,Ealing,Violence Against the Person,E01001301,3776,72.1,5.237170503417778e-05,3799.67,0.079
1099,Barking and Dagenham,Violence Against the Person,E01000094,4920,72.3,5.2345992984904095e-05,4157.25,0.072
